name,latitude,longitude,2013,2014,2015,2016,2017,2018,2019
Battleboro Farm,36.0586,-77.7608,,,0.001,7.5280000000000000,8.814,7.9670000000000000,8.833
Battleground,35.22,-81.33,0.23562,6.277,5.006,6.199,5.9350000000000000,5.615,5.7490000000000000
Bay Branch Solar,35.4745,-77.1191,,,,,,0.005,8.479000000000000
Bayboro Solar Farm,35.1483,-76.8102,,,,,0,5.68,9.294
Bayshore Solar A  LLC,34.6678,-118.2981,,,,,3.6470000000000000,55.219,54.353
Bayshore Solar B  LLC,34.6783,-118.3026,,,,,4.579,55.574,53.746
Bayshore Solar C  LLC,34.6813,-118.3141,,,,,3.8930000000000000,54.085,53.543
Beacon Solar Plant Site 2,35.2658,-117.9992,,,,,4.901,127.915,122.83
Beacon Solar Plant Site 5,35.2489,-118.0344,,,,,3.8850000000000000,100.039,97.626
Bear Creek Solar Center,44.0608,-121.2372,,,,,,5.711,22.668
BearPond Solar Center LLC,36.2761,-78.3772,,0.217,9.082,13.625,8.982,8.874,8.955
Bearford Farm Solar Project,34.61,-77.9242,,,,,9.457,9.102,9.117
Bearford Solar II,34.6119,-77.9289,,,,0,0,7.365,9.621
Beaufort Solar  LLC,35.456,-77.134,,,0.483,29.02,26.929000000000000,27.039,29.18
Beaver Run,41.153,-74.6381,,,,9.664,11.551,10.597,10.884
Bedford Solar,37.335,-79.481,,,,,0.071,5.361,5.322
Beetle Solar,35.1785,-81.665,,,,0,6.5520000000000000,6.7780000000000000,6.965
Belchertown Renewables Community Solar,42.3,-72.3,,,,,0,4.873,6.5040000000000000
Bellingham PV,42.075,-71.7031,0.727,4.466,4.497,4.557,4.3950000000000000,4.147,4.507
Belmont,39.72,-86.1931,,,0.447,6.373,6.239,6.109,5.8660000000000000
Belwood Farm,35.47,-81.5083,7.472,7.689,7.261,7.893,7.389,7.184,7.8260000000000000
Benthall Bridge PV 1,36.42,-77.1003,,,,0.001,8.292,8.418000000000000,4.4750000000000000
BentonSun LLC,44.7662,-93.8579,,,,0,8.526,8.31,7.457
Berkley East Solar LLC,41.8239,-71.0414,0.967,5.03,3.072,5.252,4.747,4.683,4.578
Berry Plastics Solar,40.6983,-75.1519,0.198,15.866,16.914,16.159,15.933,14.89,15.728
Beryl Solar Plant,37.6392,-113.6458,,,1.481,5.9510000000000000,5.354,6.279,5.648
Bethel Price Solar  LLC,35.7947,-77.3811,,0.34700000000000000,10.518,9.267,6.731,7.009,6.905
Bethel Solar,35.75,-77.385,,,0.256,6.3660000000000000,8.508000000000000,7.543,7.328
Big Lake Holdco Solar CSG,45.3346,-93.7756,,,,,1.2750000000000000,5.50737,7.349
Big Lake Project CSG,45.334,-93.792,,,,,,5.356,8.68
Bird Machine Solar Farm,42.1096,-71.2667,,,,,1.804,5.446,5.747
Biscoe Solar LLC,35.3839,-79.7703,,2.214,7.772,9.639,9.215,9.011000000000000,9.303
Bison Solar LLC,40.8638,-105.0111,,,,11.305,59.168,64.356,61.276
Bizzell Church Solar 1  LLC,35.5494,-78.1799,,,0.106,9.173,10.026,9.423,9.512
Bizzell Church Solar 2,35.5444,-78.1772,,,,,2.86,9.245000000000000,9.566
Black Eagle Solar  LLC,47.5475,-111.254,,,,,0.625,6.105,5.75
Black Mountain Solar LLC,35.0227,-114.1627,22.468,22.326,21.945,20.652,21.143,21.080000000000000,20.828
Blackville Solar II,33.3443,-81.2618,,,,,,0.027,35.7
Blackwell Solar Park,35.612,-119.845,,,,,,,45.622
Bladen Solar,34.8235,-78.6235,,,,,2.813,103.95172000000000,101.767
Bladenboro Farm,34.535,-78.8131,,9.345,9.083,9.014,8.892,8.326,8.243
Bladenboro Solar  LLC,34.5478,-78.8177,,,,9.359,10.179,9.51,9.481
Bladenboro Solar 2,34.536,-78.799,,,,,,2.315,8.839
Blue Cypress Solar Energy Center,27.6095,-80.5372,,,,,0,154.03900000000000,152.835
Blue Lake Solar,44.7964,-93.4296,,,,0,4.488,4.541,4.066
Blue Wing Solar Energy Generation,29.3042,-98.4003,23.688,23.141000000000000,21.969,23.182000000000000,22.594,21.795,21.717
Bluebell Solar,31.87,-100.828,,,,,,7.228,76.762
Blueberry One,35.3139,-78.1542,,,,9.215,9.906,9.499,9.411
Bly Solar Center,42.3922,-121.0245,,,,,,0.581,18.071
Blythe Solar 110  LLC,33.68,-114.742,,,,211.33100000000000,272.685,298.847,290.183
Blythe Solar II  LLC,33.68,-114.73,,,,101.51,349.067,345.086,272.282
Boaz Farm Solar,35.4678,-79.1344,,,,,3.181,9.124,9.103
Bolton Farm,36.4216,-78.1323,3.873,9.367,9.259,9.114,9.290000000000000,8.736,8.885
Bolton PV,42.4497,-71.6431,0,7.426,7.414000000000000,8.008000000000000,7.221,6.835,6.987
Bondi Solar,35.1341,-77.5385,,,,,0,6.739,10.253
Bonnie Mine Solar,27.8901,-81.9872,,,,,,,67.686
Bonnybrooke PV,33.053,-111.34,,,,12.278,134.856,138.774,136.141
Bordentown Solar,40.0389,-74.7766,,,,11.388,10.809000000000000,10.365,10.709
Boseman Solar Center LLC,36.0081,-77.81,,0.127,9.139,9.096,9.082,8.495000000000000,8.682
Boulder Solar II  LLC,35.85,-114.944,,,,,133.711,135.238,131.19
Boulder Solar Power  LLC,35.348,-114.97,,,,10.74,271.503,280.103,268.134
